"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"1;A-2,3,4,5,6,7,8,9,10,12,13,15,16;B","ABBBBBBBBBCBBCBB",5.5576534375,1.72618685123872,6.08616166666667,10.1348056337855,30.4102416666667,18.5404508566496,12.8,0.675625,4.02,1.17
"1;A-2,3,4,5,6,7,8,9,10,12,14,15,16;B","ABBBBBBBBBCBCBBB",5.4814025,1.71942315213573,6.29371833333333,10.2328670497853,30.704155,18.5586097080712,12.593125,0.645,4.16,1.18
"1;A-2,3,4,5,6,7,8,9,10,13,14,15,16;B","ABBBBBBBBBCCBBBB",5.43182416666667,1.73413837680615,6.50603833333333,10.3571445067047,30.96163,18.5341354621007,12.4225,0.615,4.28,1.22
"1;A-2,3,4,5,6,7,8,9,11,12,13,14,15;B","ABBBBBBBBCBBBBBC",5.73231,1.76291093620792,5.46607666666667,10.1518486597554,28.8408083333333,18.0161330874292,13.174375,0.714375,3.94,1.17
"1;A-2,3,4,5,6,7,8,9,11,12,13,14,16;B","ABBBBBBBBCBBBBCB",5.600001875,1.71392263805834,5.8937,10.1480910392413,30.0877383333333,18.4222587340211,12.850625,0.68125,4.03,1.17
"1;A-2,3,4,5,6,7,8,9,11,12,13,15,16;B","ABBBBBBBBCBBBCBB",5.49829729166667,1.67529859009127,6.17356333333333,10.2042062931985,30.5157866666667,18.5158415486122,12.6,0.640625,4.06,1.17
"1;A-2,3,4,5,6,7,8,9,11,12,14,15,16;B","ABBBBBBBBCBBCBBB",5.41791958333333,1.6538089709333,6.37359,10.2978520159823,30.7993783333333,18.5369929386507,12.3825,0.609375,4.2,1.18
"1;A-2,3,4,5,6,7,8,9,11,13,14,15,16;B","ABBBBBBBBCBCBBBB",5.35908791666667,1.65474876073753,6.57537666666667,10.4121692246475,31.04361,18.5135995285803,12.2,0.57875,4.32,1.22
"1;A-2,3,4,5,6,7,8,9,12,13,14,15,16;B","ABBBBBBBBCCBBBBB",5.32108916666667,1.679792077997,6.72907833333333,10.4956050762958,31.2262633333333,18.4811251308625,12.03875,0.5575,4.45,1.27
"1;A-2,3,4,5,6,7,8,10,11,12,13,14,15;B","ABBBBBBBCBBBBBBC",5.685321875,1.75669069566708,5.56154,10.2356268803705,28.9595633333333,17.9762778537989,13.0175,0.69625,3.99,1.22
"1;A-2,3,4,5,6,7,8,10,11,12,13,14,16;B","ABBBBBBBCBBBBBCB",5.55212916666667,1.69389770141124,5.985585,10.2283199597776,30.19234,18.3807528539065,12.6875,0.66375,4.08,1.22
"1;A-2,3,4,5,6,7,8,10,11,12,13,15,16;B","ABBBBBBBCBBBBCBB",5.44836625,1.64228728678763,6.26093333333333,10.2821445661193,30.6117083333333,18.4739141838164,12.435625,0.6225,4.11,1.22
"1;A-2,3,4,5,6,7,8,10,11,12,14,15,16;B","ABBBBBBBCBBBCBBB",5.36518927083333,1.60751620241301,6.45535666666667,10.3713767470603,30.8876766666667,18.4980074118193,12.205,0.590625,4.25,1.23
"1;A-2,3,4,5,6,7,8,10,11,13,14,15,16;B","ABBBBBBBCBBCBBBB",5.30164291666667,1.5954272689641,6.64916833333333,10.4777241934116,31.12363,18.4785981110197,12,0.560625,4.37,1.26
"1;A-2,3,4,5,6,7,8,10,12,13,14,15,16;B","ABBBBBBBCBCBBBBB",5.25537072916667,1.60757002943227,6.797535,10.5566776032034,31.3001283333333,18.4476050999771,11.82875,0.536875,4.49,1.3
"1;A-2,3,4,5,6,7,8,11,12,13,14,15,16;B","ABBBBBBBCCBBBBBB",5.22867708333333,1.64519272045867,6.93415333333333,10.6709563735056,31.461915,18.396644888656,11.74375,0.519375,4.66,1.29
"1;A-2,3,4,5,6,7,9,10,11,12,13,14,15;B","ABBBBBBCBBBBBBBC",5.6456728125,1.76599839048716,5.63560333333333,10.3032293292769,29.0551416666667,17.9314602301181,12.910625,0.67125,4.06,1.25
"1;A-2,3,4,5,6,7,9,10,11,12,13,14,16;B","ABBBBBBCBBBBBBCB",5.511794375,1.69227921857858,6.06009,10.2929294997695,30.2769466666667,18.3355232424376,12.579375,0.638125,4.15,1.25
"1;A-2,3,4,5,6,7,9,10,11,12,13,15,16;B","ABBBBBBCBBBBBCBB",5.4068434375,1.63003646694784,6.332655,10.3440385371839,30.692355,18.4297197538498,12.318125,0.596875,4.17,1.25
"1;A-2,3,4,5,6,7,9,10,11,12,14,15,16;B","ABBBBBBCBBBBCBBB",5.3216165625,1.58412876656288,6.52376166666667,10.4304879467715,30.9638366666667,18.4574372475062,12.086875,0.564375,4.31,1.26
